"","LN.F1.113.aa","LN.F1.113.ae","LN.F1.113.ag","LN.F1.113.ak","LN.F1.113.am","LN.F1.113.b","LN.F1.113.h","LN.F1.113.p","LN.F1.132.af","LN.F1.132.aj","LN.F1.132.aq.2","LN.F1.132.ar","LN.F1.132.as","LN.F1.132.at","LN.F1.132.aw","LN.F1.132.ax","LN.F1.132.ay","LN.F1.132.ba","LN.F1.132.bc","LN.F1.132.be.2","LN.F1.132.bh","LN.F1.132.t","ME.F1.134.a","ME.F1.134.b","ME.F1.136.h","ME.F1.136.i","ME.F1.136.j","ME.F1.139.af","ME.F1.139.ag","ME.F1.141.at","ME.F1.141.q","ME.F1.141.r","ME.F1.141.t","ME.F1.141.u","ME.F1.141.w","ME.F1.144.u","ME.F1.145.ad","ME.F1.145.d","ME.F1.145.g","ME.F1.145.i","ME.F1.145.w","ME.F1.146.aa","ME.F1.146.ab","ME.F1.146.ac","ME.F1.146.be","ME.F1.146.bf"
"Cul1",6.11502929297249,5.8065703694543,5.58500189358032,5.7641361834672,5.61680669311116,5.92687783486156,5.46347041715793,5.87771347867279,5.91627169616447,5.57727964316255,5.72453028049005,5.47682756740083,5.81504859698733,5.8686988153714,5.78173534380833,5.91732398001071,5.59138327641203,5.55657907293535,5.44512602671477,5.78330576176783,5.75456835479055,5.59424122375308,5.5596253291681,5.61898739385299,5.69958825130068,5.43460283322065,5.2965759860582,5.58316699085565,5.63928707432345,5.56970427356267,5.80494496851498,5.82670080262147,5.45219486062664,5.74678882342524,5.69373947808748,5.69591549172026,5.40164422802156,5.48349643392029,5.11224734001979,5.66679023496585,5.54184748795655,5.62014015433509,5.85749802073149,5.5470777580803,5.47483892126407,5.51917775489648
"Atp6v0e2",5.02958114575293,5.03624514887851,5.58500189358032,5.20283726426142,5.93747319324026,4.94883466052209,5.52437802059485,5.68612413436395,5.08282679831939,5.14258451991655,5.34181189660612,5.29538703146891,4.99511523894404,4.93291325943942,5.07091970811736,5.26902883034237,5.03509237497088,4.86588813308811,4.84686440188432,4.79919610650546,5.23578543057914,5.08753194247103,5.42070590637598,5.39048327103387,5.20239827254222,5.16966071518405,4.81720096675427,5.43787924313508,5.09600391090495,5.51395714634618,5.62358961044258,5.62836903901579,5.11088608943934,5.92435354372111,5.50904498687016,5.61888620393416,5.69930610198831,5.63173923624776,5.36036787858649,5.61010276540649,5.37358334666376,4.93201855931706,5.36534737728618,6.05009799429864,5.06036469021628,5.27113174695152
"Agap3",6.0102080219849,6.25672097107201,6.06854463742895,6.51506884098262,6.19493519783584,6.10467894417925,5.92761986520761,6.23265543017823,6.39768253198393,6.26666103675786,6.21759332212547,6.52976348923709,6.47277325642213,6.33304904779853,6.58276069932783,6.45728394174707,6.10688071616937,6.65643239770875,6.61232874937133,6.41847147378322,5.89771888404851,6.18572895206089,6.20612161024199,6.14885276791247,6.36122380067398,5.87827200930509,6.22677331938495,6.23988816706101,6.24603718147188,5.79375629333844,6.18055929937656,5.77036323208131,6.01013037041664,6.13848179063667,5.7606427338621,6.21329362606233,5.85492680084283,6.27854050730795,5.94211892166483,5.85537850399534,6.11156672538985,6.17642979154451,6.51351003375641,6.24410114987311,6.23857027951561,5.85421914313365
"Chpf2",4.96615581374492,5.10275385923186,5.03397455688304,4.97531487026456,4.88071343885692,5.27903541456326,5.01055778073911,4.86960373315914,4.89274637578485,5.14258451991655,5.59867672351646,4.56983545331692,5.16544990404799,5.09607061165755,5.10546162870413,4.92448181776872,5.26579800910448,4.98037167295944,5.27917340494523,5.28996739647586,5.08685526070717,5.19784068743825,4.80924854656896,5.27739869697421,4.90394631884992,4.70685202357808,4.97810385178935,4.61410924686532,5.19806385183427,4.83305236048826,4.54113583974228,4.68483408420456,4.88963094321451,5.11298995988385,4.74061612940784,4.7837023868812,4.80198017623597,4.63992031847438,4.78816177121041,5.22682098826967,4.97554750846223,4.43144127318306,4.91211278509565,5.02098881510838,4.58399153438079,4.47599245560719
"Pals2",7.40955016778114,7.5235222637846,7.52051284893272,7.10672486081514,7.13959295043832,7.24594852641666,7.3619791405755,7.08026112623008,7.31497549091738,7.39923359850083,7.21627498011673,7.33258282190993,7.53695807297077,7.03409302803808,7.09367084799302,7.44921892515299,7.31895361506912,7.10362467299492,7.57863744522261,7.4903559961103,7.15294148105524,6.8962099652771,7.20030185978511,7.42855685068133,7.67677761414681,7.93617340301603,7.92284012947659,7.45817981943213,7.6712952657862,7.49389467749176,7.20106355092461,7.3884623557492,7.53687628219112,7.4469613967648,7.55387284555845,7.4070811669422,7.72644006860952,7.91956081508911,7.71313447719459,7.70168289314684,7.25338870388094,7.63915352338474,7.85328117998336,7.76638990813351,7.74404571191994,7.86932082393995
"Osbpl3",5.08936069738435,5.38589075654975,5.03397455688304,5.50243950229813,5.25558469826167,5.16663821878559,5.52437802059485,5.71530969199318,5.6250497354664,5.48260344461026,5.16515749180559,5.15639916977837,5.47416119431711,5.27030975299002,5.50256169637712,5.66717415839432,5.34625083756281,5.52361719494396,5.6577907566191,5.80705962376953,6.44598943894152,5.92312055031758,5.44979328752789,5.27739869697421,5.43719505610102,5.09241171709086,5.04978384257246,5.47585782468297,5.41896143762537,5.26086078301764,4.61757412362168,5.19417028678615,5.11088608943934,5.04605505188036,5.13767597807987,5.35390136858291,4.93972278038836,5.06096741141499,4.90833095520033,5.02220456486114,4.97554750846223,4.86599362399572,5.31780535840381,4.89064533602874,4.99563439279328,5.10100419738335
"Hibadh",8.77857663509583,8.91357610736633,8.83991444928276,8.60796220441906,8.1066994339793,8.75837715176709,8.70593703618629,8.31867301102103,8.36987518888579,8.51522525898647,8.09725497127906,8.43120046821255,8.2601000141637,8.26750060084439,8.52147483887839,8.40972989405982,8.22671666664574,8.29622466709533,8.46833453211175,8.66400912391967,8.31682596434579,8.55984828039365,8.65118421339476,8.60922416202636,8.8146846131295,8.71220914969641,8.89950201349036,8.76979571379674,8.86416409816901,9.04453870770683,8.68453197252828,8.56550204618272,8.7630289134078,9.23557096043905,9.04286355619151,9.05591332007548,8.67434338731738,9.09017995474351,9.05675476225635,8.65410564496088,9.0158847100241,8.5917883583083,8.48015873807689,8.61438784596751,8.63048054839532,8.83151162506024
"Fkbp14",5.3473796531226,5.694512578549,5.74997580963179,5.99935940469248,6.05393998719013,5.86185968007845,6.07103646139952,6.06694950209159,6.07960242579076,5.32501576424681,5.72453028049005,6.28198321411613,5.53306167443502,5.80774088936796,5.76231655598172,6.01835509923736,6.06354336725205,5.73791016828805,6.02385775651795,6.00335062548587,6.31345818902085,6.11221715312363,5.58561347418514,5.5888350567205,5.43719505610102,5.91925847879568,5.86166299768774,5.68192653346076,5.76714415733979,5.7472708124467,5.5665946154061,5.44346342758653,5.8039579311714,6.22071627280284,5.69373947808748,5.35390136858291,5.73197709528263,5.4434496265371,5.43248584079985,5.64817727552995,5.84012554391929,5.62014015433509,5.49750624573887,5.50789416143482,5.233955039056,5.9715980546802
"Mturn",6.68385445588023,6.17800439334508,7.09977854842333,6.16773765947289,6.43936261929573,6.44618766329477,6.36639165134704,6.77359046528729,6.72142939210661,6.75894464782062,6.33594131279724,6.34103845261757,6.66949945177615,6.44095446096401,6.86999010442178,6.75207209156408,6.3939873819871,6.89171156965799,6.54698091192026,6.47685551215196,6.56688694500262,6.86737061003087,6.87608592065594,6.46593853902702,6.74639853985698,6.14162166947773,6.40152422648835,6.30068061500156,6.34805932470838,6.28379185547076,6.21645255939549,6.06158931634557,6.22964783749417,6.05089205419033,6.0514929573035,6.10845748046167,6.75966362121632,6.79006257267655,6.84630973088616,6.52980286493886,6.14014492289988,6.40575368258688,6.77632101765035,6.82517234110077,6.21418264596446,5.902438858529
"LOC107402454",6.52527500046616,6.78048021250489,6.35849371538927,6.56332494958639,6.3822254922417,6.65918602058072,6.50022613345703,6.54500277594559,6.15433081491172,6.18346584796459,6.39148036714886,6.15557555701098,6.63231863524367,6.64558343790655,6.55049721510847,6.40954556587784,6.60189746598821,6.49032032415392,6.53015167667766,6.46248956397495,6.53340854597511,6.11221715312363,5.96137721516858,6.28105382697021,6.39986863511991,5.87827200930509,6.47009814176604,6.10945568549853,6.40580959565858,6.13366763651813,6.50297570081298,6.13632866773555,6.10228753014898,6.48578338123727,6.12758804306515,6.024082617898,6.32008337154798,6.81927710935811,6.2533194740018,6.12812287604855,6.20904647722081,6.17642979154451,6.16403755356661,6.2885459965405,6.35435601072542,6.28986802997193
"Tigd2",6.2583660758217,6.20475459149443,6.25688521268881,6.43937436445214,6.35274030628474,6.15904792035688,6.01146018307949,6.44856022095683,6.05373730013438,6.18346584796459,6.17573621000225,5.94042036600963,6.22649465931578,5.84869570440213,5.80086549383883,5.95186733004817,6.06354336725205,5.89664724480725,6.14135946663066,5.91971476136916,5.84234003211699,5.80147479399802,5.96137721516858,6.06705372510838,6.11877637057739,6.2082307377586,5.86166299768774,6.45070648129188,5.85530317234402,6.64304450950879,6.23404873885854,6.38775024428902,5.98605837971491,6.67019875248377,5.91411824176251,6.16189397341437,6.02001407813373,6.42041573340899,6.77192844709889,6.17906755948916,6.81778595195129,6.05780486381361,6.11329499716676,6.19815291612524,6.16404876900513,6.01577007191519
"Fam13a",6.68385445588023,6.59400904354446,6.7533079286696,6.38649934824118,6.58529104155546,6.5025838182773,6.20053704709854,6.48146096871821,6.15433081491172,6.93576170247498,6.2780521597217,6.31182997249969,6.08432588659214,6.61159508523182,6.76206458213179,6.05039017856948,6.42808241727078,5.99266814743897,6.46071076508093,6.30992359051754,5.6925303853494,5.89375587811148,6.25323984219128,6.73655038074152,6.2524950174701,6.24034462607075,6.30441937305489,6.76705629183195,7.05642590253175,6.72573928614783,6.58661368049079,6.52563895294453,6.41851926859502,6.78084553051842,6.66985358859452,6.2869145648576,6.54847788346805,6.96993313149733,6.01042860003065,6.15383592472064,6.79159377718085,6.95374155475323,6.45440782621022,6.54685753292138,6.68801833422839,6.32486110087956
"LOC102909385",5.14597143396027,5.03624514887851,5.16758826770598,5.33202229945186,4.82907639058588,5.41360091537921,5.63782991827982,4.73906669331983,4.31619315004478,5.32501576424681,5.49517944701512,4.99715789799362,5.08368445552865,5.16908875890244,4.63694123165793,4.69454152705791,5.17923635243083,4.86588813308811,4.97289931675392,4.85501435552499,5.18834045168915,4.74540031784983,5.58561347418514,5.19531261545328,5.23450517883966,5.09241171709086,5.18005236699352,5.27249720224335,5.19806385183427,5.06857628476968,5.41133209249619,5.31162456760653,5.41462373120457,5.85621198569313,5.08134816475008,5.25060735549477,4.87332248739754,5.31454539079835,5.36036787858649,5.62928465409516,5.08111731817076,4.93201855931706,4.67126250068429,5.50789416143482,5.233955039056,5.34747284255581
"Ppm1k",5.98266055955868,5.77029534917131,5.98511898606734,5.69798691843149,5.64258386483931,5.745698050514,5.63782991827982,5.77174982852766,5.47036002890677,5.78665107099933,5.5651335910694,5.68298233531044,5.53306167443502,5.82838002919814,5.61740601172247,5.29821795417831,5.62271327898405,5.30435546447139,5.44512602671477,5.21586873361457,5.18834045168915,5.43409393130181,5.75384691852556,5.46026875657303,5.26572453327202,5.69999832966666,5.18005236699352,5.35809932047716,5.9378655064563,5.48510238829582,5.9423538926282,5.93253688853051,5.85862736877864,5.62711967870425,5.94275970476726,5.76853273653289,5.5958980993674,6.38135594732011,5.39697449166089,5.05393323265637,5.64928682656388,6.42481447058161,5.61670142931777,5.7593716842229,6.08516786053925,5.902438858529
"LOC102902907",5.77171996779518,5.48228459185712,5.12486545057953,5.90643455269449,5.93747319324026,5.90556189379242,4.96274084757375,5.03726298231612,5.8869708572672,7.5578583550877,5.81136804351196,6.18830058382401,7.50344364677237,7.16377761234235,6.57208928848721,6.79873478745244,7.47124953314428,7.92923290669026,7.21324252141048,7.24809272558468,7.68355475946022,6.13716965257002,5.42070590637598,5.35399129171057,5.84196136290771,5.09241171709086,5.89623932977184,5.80266386840275,5.19806385183427,6.25183765009128,5.9423538926282,6.5792677584365,6.24975568043921,6.32313950124195,5.99824084551146,5.76853273653289,5.16912086576778,5.21991791830792,5.96528330318746,5.25318113668538,5.78579601301137,6.19895032149507,5.9773249718436,6.15058940544903,5.8158233212623,5.58158769935374
"Fkbp9",6.40848624342269,6.84862783850861,6.70331658290112,6.7721363718701,6.64686662386469,6.81107910149995,6.59603932229447,6.59081790313552,6.53270064119224,6.66140550558005,6.2581964922469,6.55473607172624,6.30832172633567,6.37451373204615,6.05854248874522,6.21407426802354,6.41114053411149,6.31975530775683,6.40623690736797,6.89362932298537,6.49910129921613,6.13716965257002,6.94340322317159,6.83646584816764,6.43745658197848,6.52575966680816,6.35383191646036,6.64899621673337,6.63140747343604,6.88803384778892,6.72799701685417,6.37561123964761,6.81482125820229,6.89978189096744,6.45469259163682,6.50712134134271,7.30332447160254,6.69857692399543,7.04842909241732,6.520094274847,6.84349846647835,6.56850727801024,6.64233919526592,6.96631053657326,6.59793242700534,6.61922818992507
"Smarcad1",5.77171996779518,5.694512578549,5.52479091932003,5.78544762294378,5.9576101294634,5.50537779153057,5.6909140892309,5.30926838428223,5.02329517841874,5.66523172691923,5.42095622251677,5.47682756740083,5.44360317475097,5.60527835789217,5.37574847343928,5.40815642707391,5.76864776387608,5.26347992519315,5.23369290298761,5.78330576176783,5.18834045168915,5.55612213189985,5.47819426161175,5.88663074083759,5.51447251971139,5.37380945132006,5.58949169387387,5.74371950712176,5.67248030212985,5.67420962712576,5.5665946154061,5.67058806210768,6.01013037041664,5.62711967870425,5.65891855738668,5.73274035376056,5.48310426658625,5.73241069048752,5.46697497727539,5.70321308489437,5.49611193655613,5.54857740546985,5.57823274922427,5.58505295557233,5.5176740897827,5.48674020405778
"Serbp1",9.62276709269595,9.61221234482677,9.61302053445132,9.25050568544179,9.55025145958417,9.58202694764617,9.48275813044459,9.49876112687885,9.4928846424803,9.28844337409582,9.47564745652595,9.34910906159535,9.52075464076079,9.37043716562527,9.49830325258222,9.52432904747903,9.44796012489514,9.34044092997678,9.46826561971316,9.35966828062568,9.55451947050922,9.39251511512714,9.41652302577012,9.52280457335791,9.57300495829954,9.35187930709353,9.56307659982407,9.57162686387308,9.63456344131211,9.51727387704724,9.46735847142366,9.64238416208348,9.52742230076993,9.33716667057403,9.73974539762077,9.60700706438331,9.61402699111373,9.48809223276857,9.53845615950655,9.55134585495586,9.53258119514952,9.66748236887943,9.6798985532566,9.59680202826077,9.75476912720192,9.38309687181419
