mouse_id,population,family,sex,acclim1,acclimation,po2,temp,mass,vo2,vo2_mass,vo2.res,vco2,vco2_mass,tv_btps,tv_btps_mass,tv_stp,frequency,total_vent,total_vent_mass,total_vent_stp,total_vent_mass_stp,pulmonary_extraction,arterial_sat,hr,o2_pulse,venous_content,hb,ca02,av_diff,ox_extraction_ratio,co,co_mass,sv,sv_uL,sv_ul_g,o2_delivery,venous_sat,hct,mean_cell_hb,pco2,ph,bicarb_6.1,bicarb_6.08,glu,lac
ME.F1.145.d,ME,ME145,F,0,N,norm,warm,20.5,2.873869321,0.140188747,-0.696963068,1.744298549,0.085087734,14.15262257,0.014152623,12.85632725,288.0207599,83.5631067,4.076249107,75.90922743,3.702889143,0.315490307,82.60469799,442.1008403,0.006500484,3.214139873,17.249,19.80539325,16.59125338,0.837713908,17.32159262,0.844955737,0.001911229,39.18018478,1.911228526,16.73468066,18.63377513,0.414220711,0.024014187,40.4,7.49,29.75107206,31.15319689,7.5,3.7
ME.F1.145.e,ME,ME145,F,0,N,norm,warm,24.1,2.949181088,0.122372659,-0.829101785,2.180388539,0.090472554,10.82927498,0.010829275,9.881713162,373.189709,97.39711285,4.041373977,88.87486318,3.687753659,0.273409982,88.17846154,487.2882883,0.006052231,,16.48,20.19921654,,,,,,,,,,0.461020425,0.02797454,,,,,,
ME.F1.145.f,ME,ME145,M,0,N,norm,warm,19.1,2.070823978,0.108420104,-1.419333222,1.555626764,0.081446427,19.23324675,0.019233247,17.61996413,276.4106541,101.5408394,5.316274315,93.02360499,4.870345811,0.185984654,90.55,549,0.003771993,,,,,,,,,,,,,,,,,,,,
ME.F1.145.h,ME,ME145,M,2,C,norm,cold,22.7,3.307225563,0.145692756,-0.390382122,2.437609371,0.107383673,19.11778282,0.019117783,17.83659312,477.6228601,207.2757455,9.13109011,193.3850368,8.519164619,0.141186281,89.73910256,333.1858974,0.009926067,,14.927,,,,,,,,,,,0.369410789,,,,,,,
ME.F1.145.i,ME,ME145,M,2,C,norm,cold,23.2,2.78532629,0.12660574,-0.941093962,2.361021139,0.107319143,20.38869763,0.020388698,19.70068831,349.9906568,165.5518052,7.135853674,159.9653187,6.895056842,0.233159402,84.61315789,490.3026316,0.005680831,2.13,12.54,,,,,,,,,,,0.39,,,,,,9.9,2.1
ME.F1.145.w,ME,ME145,F,1,H,hypox,warm,21.93,3.948871814,0.180067114,0.295635483,2.916623862,0.132996984,13.0171024,0.013017102,11.85420603,402.0839379,114.7809137,5.233967793,104.5268415,4.766385842,0.311498503,,,,4.14,20.71,,,,,,,,,,19.99034283,0.683067139,,40.8,7.1,12.24,12.81685343,8.5,4.8
ME.F1.146.aa,ME,ME146,F,1,H,hypox,warm,15.87,3.251760847,0.204899864,-0.052267169,2.440069035,0.153753562,12.96960929,0.012969609,11.69250889,444.790658,91.55023791,5.768761053,82.53540615,5.200718724,0.326184995,,,,2.272,18.38,,,,,,,,,,12.36126224,0.526928184,,38.4,7.11,11.78833527,12.3439024,,
ME.F1.146.ab,ME,ME146,F,1,H,hypox,warm,14.46,3.686790091,0.254964737,0.464013514,2.605766661,0.180205163,16.20377352,0.016203774,14.67703429,541.8280166,126.9538615,8.77965847,114.9921143,7.952428378,0.264588393,88.70662252,630.2913907,0.005849342,3.128620088,17.28,21.30662108,18.17800099,0.853162072,20.28160354,1.402600521,0.002225321,32.1781383,2.225320767,29.88467783,18.10544032,0.540871466,0.031300432,37.84285714,7.151666667,12.78709347,13.38973062,6.3,5.4
ME.F1.146.ac,ME,ME146,F,1,H,hypox,warm,16.2,3.957078607,0.244264112,0.634034296,2.871686343,0.177264589,11.85081036,0.01185081,10.66924022,577.9314314,110.9530839,6.848955793,99.89064617,6.16608927,0.326933925,76.31721854,688.2582781,0.005749409,2.075,18.23,19.33855423,17.26355423,0.892701389,22.92157544,1.414912064,0.002055786,33.30374101,2.055786482,27.36235369,11.38233681,0.628012112,0.034449375,,,,,,
ME.F1.146.ad,ME,ME146,F,1,H,hypox,warm,14.02,4.077728103,0.290850792,0.880306586,2.406360437,0.171637692,17.35462066,0.017354621,15.82329434,468.9771381,114.107663,8.138920331,104.0391014,7.420763293,0.323257443,,,,,15.15,,,,,,,,,,,0.474274431,,,,,,,
ME.F1.146.be,ME,ME146,F,0,N,norm,warm,14.3,1.909197024,0.133510281,-1.304359531,1.455284869,0.101768173,12.48453873,0.012484539,11.29995116,423.2553746,75.56331806,5.284148116,68.3935404,4.782765063,0.232766673,85.46887417,513.3708609,0.003718943,3.126481512,18.646,22.15177153,19.02529001,0.858860881,10.0350482,0.701751623,0.001366949,19.54736618,1.366948684,15.54504161,16.7675722,0.424955552,0.022790709,43,7.31,20.92135026,21.90734312,4.8,11
ME.F1.146.bf,ME,ME146,F,0,N,norm,warm,17.2,3.163765357,0.183939846,-0.216904088,2.058165811,0.119660803,15.39699712,0.015396997,14.01919306,364.3795368,96.49803167,5.610350679,87.86288164,5.108307072,0.296370012,89.62317881,528.4172185,0.005987249,1.799303182,16.238,20.22868637,18.42938318,0.911051902,17.16696281,0.998079233,0.001888809,32.48751593,1.888809066,20.18983177,11.08081773,0.39791911,0.024505426,42.4,7.36,23.14659492,24.23746033,7.2,9.9
ME.F1.151.k,ME,ME151,F,1,H,hypox,warm,17.1,3.842935839,0.22473309,0.468028907,2.723656772,0.159278174,13.26283569,0.013262836,12.03312333,402.9228529,91.38068302,5.343899592,82.90798849,4.848420379,0.381902854,93.20229008,503.602649,0.007630889,4.06,15.67,20.30067041,16.24067041,0.800006605,23.66242121,1.383767322,0.002747736,46.98629218,2.747736385,28.09140433,25.90938098,0.616852897,0.039365214,34,7.18,12.26309723,12.8410392,6.8,5.4
ME.F1.151.l,ME,ME151,F,1,H,hypox,warm,16.8,4.202752729,0.250163853,0.845133338,2.847098453,0.169470146,11.65027529,0.011650275,10.54934542,506.4109511,99.11709346,5.899826991,89.75070801,5.342304048,0.385901775,,,,1.289,11.86,,,,,,,,,,10.86846543,0.329919493,0.027817832,37,7.1,11.1,11.62312688,16.2,9.3
